image_id,original_name,tier,ground_truth_text,annotator,notes
product_042,B07TGDFPBN_img01.jpg,sponsor,"""made with natural, safe, organic and sustainable ingredients"" | spearmint | DRY SHAMPOO | Sit. Stay. Forever. | DOG & CAT | Organic / ""Safety First"" / Pet Products | 28 oz. / 828 ml. | sitstayforever.com | MADE IN MAINE",Claude (vision draft),logo circle text transcribed as brand phrase
product_043,B07TGDFPBN_img02.jpg,sponsor,DRY POWDER SHAMPOO FOR DOGS & CATS | Great for Sensitive Skin | Quick Clean Between Baths | No Water - No Mess | Loved by Dogs & Cats Alike | No Harsh Chemicals or Fragrances | Dr. Alex Chen | Sit. Stay. Forever. | Safety First ORGANIC | DRY SHAMPOO | DOG & CAT | MADE IN MAINE,Claude (vision draft),miniature bottle fine print mostly illegible at this resolution; only clear lines included
product_044,B07TGDFPBN_img03.jpg,sponsor,"Spearmint Scent | Talc Free | Organic Ingredients | Waterless - just brush out | NATURAL / NON TOXIC | ""saves time"" | DRY SHAMPOO | Sit. Stay. Forever. | DOG & CAT | Organic / ""Safety First"" Pet Products | 7.0 oz. / 237ml. | sitstayforever.com | MADE IN MAINE",Claude (vision draft),starburst badge text too small; excluded
product_012,B0002I9OIE_img01.jpg,high,"VET'S + BEST | NATURE'S HEALTH CARE | WATERLESS DOG BATH | NO-RINSE FOAM SHAMPOO | No Water Required | Cleans & Conditions | Aloe Vera, Chamomile and Pro-Vitamin B5 | 150 ml",Claude (vision draft),estimated-sign after 150 ml excluded
product_024,B00GZQYLOE_img01.jpg,high,"Waterless | no-rinse shampoo | Pet Friendly Formula | pH Balanced, Paraben & Alcohol Free | Coconut Lime Verbena | OATMEAL FORMULA | Moisturize Dry Skin, Plus Itch Relief | WAHL | HOME PRODUCTS | 7.10 fl oz (210 mL) | MADE IN THE USA | of domestic and imported parts",Claude (vision draft),
product_027,B00GZQYLOE_img04.jpg,high,"Formulated with plant based cleansers | Oatmeal extract efficiently soothes damaged skin | Coconut Lime Verbena fragrance is designed to give your pet a clean, fresh smell with out bathing | Plant based cleansers make Wahl's Shampoo the choice for owners who want to avoid harsh chemicals for both their dog and themselves. | Our Shampoo is PEG-80 Free, Alcohol Free, and Paraben Free. | Our cleansers are processed from plant derived materials. | PET FRIENDLY FORMULA | pH BALANCED | ALCOHOL FREE | PARABEN FREE",Claude (vision draft),label photographed at an angle (curved text)
product_030,B01J8JMFKG_img01.jpg,high,"DRY SHAMPOO | BODHI DOG | Premium | WATERLESS SHAMPOO | Naturally Eliminates Odor | Made in USA | with Natural Extract | Fast & Easy Dry Shampoo Naturally Eliminates Odor, Conditions, & Smells Great | Lavender | 8 fl oz (240 ml)",Claude (vision draft),logo arc slogan partially legible; excluded
product_052,B0CXDZJLVC_coat_defense_img05.jpg,high,"Caution & Safe Use Guide | COAT DEFENSE | BEFORE USING: | Discontinue any medicated shampoos, topicals, wipes, or ear treatments for 3-5 days prior to applying this product. | This includes products containing: Sodium Laurel Sulfate, Chlorhexidine, Coal Tar, or Salicylic Acid. | PATCH TEST FIRST: | Always test a small area before full application to ensure skin compatibility. | AVOID: | Applying on areas recently treated with flea pesticides or under fresh flea collars. | IMPORTANT: | Never pour powder directly into the ear. | IF OOZING OCCURS | it means it's working - just wipe and reapply.",Claude (vision draft),CD monogram in logo excluded
product_000,B0002DINX6_img01.jpg,medium,Wardley | Reptile Sticks | Also a great food for Amphibians | fortified with Calcium | NET WT 57 g (2 OZ),Claude (vision draft),reptile food product (medium tier)
product_003,B0002DINX6_img04.jpg,medium,Hikari | Ideal for Most Aquatic Turtles | Saki-Hikari | TURTLE | Probiotic Enhanced Nutrient Mix | Uniquely Balanced Odor-Stop Ingredients | Lab Verified Clean Water Formulation | Floating Type | M | size,Claude (vision draft),Japanese brand text excluded (English-only OCR scope); net-weight line too small to read reliably
